label,format,games,username,game_id,color,ply,rtt_ms,applied_bytes,warmup
e1-5,binary,5,bot_10,209,b,28,18.46,25,0
e1-5,binary,5,bot_10,209,b,30,25.25,25,0
e1-5,binary,5,bot_10,209,b,32,10.48,25,0
e1-5,binary,5,bot_10,209,b,34,3.89,25,0
e1-5,binary,5,bot_10,209,b,36,3.76,25,0
e1-5,binary,5,bot_10,209,b,38,7.19,25,0
e1-5,binary,5,bot_10,209,b,40,3.05,25,0
e1-5,binary,5,bot_10,209,b,42,3.57,25,0
e1-5,binary,5,bot_10,209,b,44,3.8,25,0
e1-5,binary,5,bot_10,209,b,46,6.63,25,0
e1-5,binary,5,bot_10,209,b,48,3.61,25,0
e1-5,binary,5,bot_10,209,b,50,4.46,25,0
e1-5,binary,5,bot_10,209,b,52,5.28,25,0
e1-5,binary,5,bot_10,209,b,54,3.6,25,0
e1-5,binary,5,bot_10,209,b,56,8.52,25,0
e1-5,binary,5,bot_10,209,b,58,4.24,25,0
e1-5,binary,5,bot_10,209,b,60,5.7,25,0
